127.0.0.1 - - [30/May/2023:10:31:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2023:10:31:45 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [30/May/2023:10:31:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:10:32:30 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [30/May/2023:10:33:00 +0900] "GET /day45_css_js/index.html HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/May/2023:10:33:00 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [30/May/2023:10:33:35 +0900] "GET /day45_css_js/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:33:35 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [30/May/2023:10:33:35 +0900] "GET /day45_css_js/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:33:35 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:33:38 +0900] "GET /day45_css_js/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:33:38 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:33:39 +0900] "GET /day45_css_js/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:33:39 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:34:09 +0900] "GET /day45_css_js/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:34:09 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:34:10 +0900] "GET /day45_css_js/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:34:11 +0900] "GET /day45_css_js/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:34:12 +0900] "GET /day45_css_js/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:34:12 +0900] "GET /day45_css_js/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:34:12 +0900] "GET /day45_css_js/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:34:12 +0900] "GET /day45_css_js/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2023:10:34:12 +0900] "GET /day45_css_js/index.html HTTP/1.1" 304 -
